index,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,imdb_score
28,Alexander Skarsgård,Action|Adventure|Sci-Fi|Thriller,Liam Neeson,Battleship ,Tadanobu Asano,5.9
29,Judy Greer,Action|Adventure|Sci-Fi|Thriller,Bryce Dallas Howard,Jurassic World ,Omar Sy,7
30,Helen McCrory,Action|Adventure|Thriller,Albert Finney,Skyfall ,Rory Kinnear,7.8
31,James Franco,Action|Adventure|Fantasy|Romance,J.K. Simmons,Spider-Man 2 ,Kirsten Dunst,7.3
32,Jon Favreau,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man 3 ,Don Cheadle,7.2
33,Alan Rickman,Adventure|Family|Fantasy,Johnny Depp,Alice in Wonderland ,Anne Hathaway,6.5
34,Kelsey Grammer,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,X-Men: The Last Stand ,Daniel Cudmore,6.8
35,Tyler Labine,Adventure|Animation|Comedy|Family|Fantasy,Steve Buscemi,Monsters University ,Sean Hayes,7.3
36,Kevin Dunn,Action|Adventure|Sci-Fi,Glenn Morshower,Transformers: Revenge of the Fallen ,Ramon Rodriguez,6
37,Sophia Myles,Action|Adventure|Sci-Fi,Bingbing Li,Transformers: Age of Extinction ,Kelsey Grammer,5.7
38,Mila Kunis,Adventure|Family|Fantasy,Tim Holmes,Oz the Great and Powerful ,James Franco,6.4
39,Andrew Garfield,Action|Adventure|Fantasy|Sci-Fi,Emma Stone,The Amazing Spider-Man 2 ,B.J. Novak,6.7
40,Olivia Wilde,Action|Adventure|Sci-Fi,Jeff Bridges,TRON: Legacy ,James Frain,6.8
41,Thomas Kretschmann,Adventure|Animation|Comedy|Family|Sport,Joe Mantegna,Cars 2 ,Eddie Izzard,6.3
42,Temuera Morrison,Action|Adventure|Sci-Fi,Ryan Reynolds,Green Lantern ,Taika Waititi,5.6
43,John Ratzenberger,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,Toy Story 3 ,Don Rickles,8.3
44,Bryce Dallas Howard,Action|Adventure|Sci-Fi,Christian Bale,Terminator Salvation ,Common,6.6
45,Paul Walker,Action|Crime|Thriller,Jason Statham,Furious 7 ,Vin Diesel,7.2
46,Brad Pitt,Action|Adventure|Horror|Sci-Fi|Thriller,Peter Capaldi,World War Z ,Mireille Enos,7
47,Peter Dinklage,Action|Adventure|Fantasy|Sci-Fi|Thriller,Jennifer Lawrence,X-Men: Days of Future Past ,Hugh Jackman,8
48,Bruce Greenwood,Action|Adventure|Sci-Fi,Benedict Cumberbatch,Star Trek Into Darkness ,Noel Clarke,7.8
49,Ewen Bremner,Adventure|Fantasy,Eddie Marsan,Jack the Giant Slayer ,Ralph Brown,6.3
50,Elizabeth Debicki,Drama|Romance,Leonardo DiCaprio,The Great Gatsby ,Steve Bisley,7.3
51,Richard Coyle,Action|Adventure|Fantasy|Romance,Jake Gyllenhaal,Prince of Persia: The Sands of Time ,Reece Ritchie,6.6
52,Clifton Collins Jr.,Action|Adventure|Sci-Fi,Charlie Hunnam,Pacific Rim ,Larry Joe Campbell,7
53,Lester Speight,Action|Adventure|Sci-Fi,Glenn Morshower,Transformers: Dark of the Moon ,Kevin Dunn,6.3
54,Ray Winstone,Action|Adventure|Fantasy,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,Jim Broadbent,6.2
55,Jack McGraw,Adventure|Animation|Comedy|Family|Fantasy,A.J. Buckley,The Good Dinosaur ,Peter Sohn,6.8
56,John Ratzenberger,Adventure|Animation|Comedy|Family|Fantasy,Kelly Macdonald,Brave ,Julie Walters,7.2
57,Melissa Roxburgh,Action|Adventure|Sci-Fi|Thriller,Sofia Boutella,Star Trek Beyond ,Lydia Wilson,7.5
58,Fred Willard,Adventure|Animation|Family|Sci-Fi,John Ratzenberger,WALL·E ,Jeff Garlin,8.4
59,Dana Ivey,Action|Comedy|Crime|Thriller,Tzi Ma,Rush Hour 3 ,Noémie Lenoir,6.2
60,Liam James,Action|Adventure|Sci-Fi,Oliver Platt,2012 ,Tom McCarthy,5.8
61,Colin Firth,Animation|Drama|Family|Fantasy,Robin Wright,A Christmas Carol ,Gary Oldman,6.8
62,Mila Kunis,Action|Adventure|Sci-Fi,Channing Tatum,Jupiter Ascending ,Eddie Redmayne,5.4
63,Alexander Skarsgård,Action|Adventure|Drama|Romance,Christoph Waltz,The Legend of Tarzan ,Casper Crump,6.6
64,Kiran Shah,Adventure|Family|Fantasy,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Shane Rangi,6.9
65,Michael Fassbender,Action|Adventure|Sci-Fi,Jennifer Lawrence,X-Men: Apocalypse ,Tye Sheridan,7.3
66,Heath Ledger,Action|Crime|Drama|Thriller,Christian Bale,The Dark Knight ,Morgan Freeman,9
67,Delroy Lindo,Adventure|Animation|Comedy|Family,John Ratzenberger,Up ,Jess Harnell,8.3
68,Rainn Wilson,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Amy Poehler,Monsters vs. Aliens ,Stephen Colbert,6.5
69,Jeff Bridges,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man ,Jon Favreau,7.9
70,Christopher Lee,Adventure|Drama|Family|Mystery,Chloë Grace Moretz,Hugo ,Ray Winstone,7.5
71,Salma Hayek,Action|Comedy|Sci-Fi|Western,Will Smith,Wild Wild West ,Bai Ling,4.8
72,Brendan Fraser,Action|Adventure|Fantasy|Horror|Thriller,Jet Li,The Mummy: Tomb of the Dragon Emperor ,Russell Wong,5.2
73,Robin Atkin Downes,Action|Adventure|Comedy|Sci-Fi,Will Smith,Suicide Squad ,Ike Barinholtz,6.9
74,Morgan Freeman,Comedy|Family|Fantasy,Jimmy Bennett,Evan Almighty ,Steve Carell,5.4
75,Lara Pulver,Action|Adventure|Sci-Fi,Tom Cruise,Edge of Tomorrow ,Noah Taylor,7.9
76,Rick Aviles,Action|Adventure|Sci-Fi|Thriller,Jeanne Tripplehorn,Waterworld ,Zakes Mokae,6.1
77,Dennis Quaid,Action|Adventure|Sci-Fi|Thriller,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra ,Leo Howard,5.8
78,Mindy Kaling,Adventure|Animation|Comedy|Drama|Family|Fantasy,Amy Poehler,Inside Out ,Phyllis Smith,8.3
79,Bill Murray,Adventure|Drama|Family|Fantasy,Scarlett Johansson,The Jungle Book ,Garry Shandling,7.8
80,Scarlett Johansson,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man 2 ,Jon Favreau,7
81,Kristen Stewart,Action|Adventure|Drama|Fantasy,Chris Hemsworth,Snow White and the Huntsman ,Sam Claflin,6.1
82,Sharlto Copley,Action|Adventure|Family|Fantasy|Romance,Angelina Jolie Pitt,Maleficent ,Sam Riley,7
83,Judy Greer,Action|Adventure|Drama|Sci-Fi,Gary Oldman,Dawn of the Planet of the Apes ,Kodi Smit-McPhee,7.6
84,Alice Englert,Action|Adventure|Romance|Sci-Fi,Tamsin Egerton,The Lovers ,Bipasha Basu,4.5
85,Cary-Hiroyuki Tagawa,Action|Adventure|Drama|Fantasy,Keanu Reeves,47 Ronin ,Jin Akanishi,6.3
86,Chris Evans,Action|Adventure|Sci-Fi,Scarlett Johansson,Captain America: The Winter Soldier ,Hayley Atwell,7.8
87,Kathy Griffin,Adventure|Animation|Comedy|Family|Fantasy,Jon Hamm,Shrek Forever After ,Mary Kay Place,6.4
88,Chris Bauer,Action|Adventure|Family|Mystery|Sci-Fi,Judy Greer,Tomorrowland ,Thomas Robinson,6.5
89,Daniel Henney,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Damon Wayans Jr.,Big Hero 6 ,Abraham Benrubi,7.9
90,Sarah Silverman,Adventure|Animation|Comedy|Family|Sci-Fi,Jack McBrayer,Wreck-It Ralph ,Joe Lo Truglio,7.8
91,Eddie Deezen,Adventure|Animation|Family|Fantasy,Tom Hanks,The Polar Express ,Peter Scolari,6.6
92,Sela Ward,Action|Adventure|Sci-Fi,Vivica A. Fox,Independence Day: Resurgence ,Judd Hirsch,5.5
93,America Ferrera,Adventure|Animation|Family|Fantasy,Gerard Butler,How to Train Your Dragon ,Craig Ferguson,8.2
94,M.C. Gainey,Action|Sci-Fi,Nick Stahl,Terminator 3: Rise of the Machines ,Carolyn Hennesy,6.4
95,Vin Diesel,Action|Adventure|Sci-Fi,Bradley Cooper,Guardians of the Galaxy ,Djimon Hounsou,8.1
96,Anne Hathaway,Adventure|Drama|Sci-Fi,Matthew McConaughey,Interstellar ,Mackenzie Foy,8.6
97,Tom Hardy,Action|Adventure|Sci-Fi|Thriller,Leonardo DiCaprio,Inception ,Joseph Gordon-Levitt,8.8
98,Shin'ya Tsukamoto,Action|Adventure|Drama|Horror|Sci-Fi,Mark Chinnery,Godzilla Resurgence ,Atsuko Maeda,8.2
99,Adam Brown,Adventure|Fantasy,Aidan Turner,The Hobbit: An Unexpected Journey ,James Nesbitt,7.9
100,Vin Diesel,Action|Crime|Thriller,Paul Walker,The Fast and the Furious ,Jordana Brewster,6.7
101,Jason Flemyng,Drama|Fantasy|Romance,Brad Pitt,The Curious Case of Benjamin Button ,Julia Ormond,7.8
102,Michael Fassbender,Action|Adventure|Sci-Fi,Jennifer Lawrence,X-Men: First Class ,Oliver Platt,7.8
103,Philip Seymour Hoffman,Adventure|Sci-Fi,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2 ,Josh Hutcherson,6.6
104,Omar Benson Miller,Action|Adventure|Family|Fantasy,Nicolas Cage,The Sorcerer's Apprentice ,Robert Capron,6.1
105,Mike Vogel,Action|Adventure|Drama|Thriller,Jimmy Bennett,Poseidon ,Andre Braugher,5.6
106,Alan Rickman,Adventure|Family|Fantasy,Johnny Depp,Alice Through the Looking Glass ,Anne Hathaway,6.4
107,Eric Idle,Adventure|Animation|Comedy|Family|Fantasy,Justin Timberlake,Shrek the Third ,Rupert Everett,6.1
108,Callum Rennie,Action|Adventure|Fantasy,Dominic Cooper,Warcraft ,Ruth Negga,7.3
109,Emilia Clarke,Action|Adventure|Sci-Fi,J.K. Simmons,Terminator Genisys ,Matt Smith,6.6
110,Shane Rangi,Adventure|Family|Fantasy,Bruce Spence,The Chronicles of Narnia: The Voyage of the Dawn Treader ,Laura Brent,6.3
111,Jaime King,Action|Drama|History|Romance|War,Jennifer Garner,Pearl Harbor ,Mako,6.1
112,Michael O'Neill,Action|Adventure|Sci-Fi,Zack Ward,Transformers ,Kevin Dunn,7.1
113,Angelina Jolie Pitt,Action|Adventure|Biography|Drama|History|Romance|War,Anthony Hopkins,Alexander ,Brian Blessed,5.5
114,Daniel Radcliffe,Adventure|Family|Fantasy|Mystery,Robert Pattinson,Harry Potter and the Order of the Phoenix ,Fiona Shaw,7.5
115,Daniel Radcliffe,Adventure|Family|Fantasy|Mystery,Robert Pattinson,Harry Potter and the Goblet of Fire ,Rupert Grint,7.6
116,Charlize Theron,Action|Drama,Will Smith,Hancock ,Eddie Marsan,6.4
117,Alice Braga,Drama|Horror|Sci-Fi,Will Smith,I Am Legend ,Willow Smith,7.2
118,Christopher Lee,Adventure|Comedy|Family|Fantasy,Johnny Depp,Charlie and the Chocolate Factory ,David Kelly,6.7
119,John Ratzenberger,Animation|Comedy|Family|Fantasy,Janeane Garofalo,Ratatouille ,Brian Dennehy,8
120,Liam Neeson,Action|Adventure,Christian Bale,Batman Begins ,Morgan Freeman,8.3
121,Jada Pinkett Smith,Action|Adventure|Animation|Comedy|Family,Bernie Mac,Madagascar: Escape 2 Africa ,Cedric the Entertainer,6.7
122,Rami Malek,Adventure|Comedy|Family|Fantasy,Robin Williams,Night at the Museum: Battle of the Smithsonian ,Steve Coogan,5.9
123,Ryan Reynolds,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,X-Men Origins: Wolverine ,Dominic Monaghan,6.7
124,Collin Chou,Action|Sci-Fi,Essie Davis,The Matrix Revolutions ,Nona Gaye,6.7
125,Maurice LaMarche,Adventure|Animation|Comedy|Family|Fantasy|Musical,Josh Gad,Frozen ,Livvy Stubenrauch,7.6
126,Daniel Bernhardt,Action|Sci-Fi,Steve Bastoni,The Matrix Reloaded ,Helmut Bakaitis,7.2
127,Natalie Portman,Action|Adventure|Fantasy,Chris Hemsworth,Thor: The Dark World ,Anthony Hopkins,7.1
128,Charlize Theron,Action|Adventure|Sci-Fi|Thriller,Tom Hardy,Mad Max: Fury Road ,Zoë Kravitz,8.1
129,Ayelet Zurer,Mystery|Thriller,Tom Hanks,Angels & Demons ,Armin Mueller-Stahl,6.7
130,Natalie Portman,Action|Adventure|Fantasy,Chris Hemsworth,Thor ,Anthony Hopkins,7
131,Diedrich Bader,Adventure|Animation|Comedy|Drama|Family,Chloë Grace Moretz,Bolt ,James Lipton,6.9
132,Piper Mackenzie Harris,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Kelli Garner,G-Force ,Niecy Nash,5.1
133,Edgar Ramírez,Action|Adventure|Fantasy,Liam Neeson,Wrath of the Titans ,Lily James,5.8
134,Chloë Grace Moretz,Comedy|Fantasy|Horror,Johnny Depp,Dark Shadows ,Christopher Lee,6.2
135,Jeremy Renner,Action|Adventure|Thriller,Tom Cruise,Mission: Impossible - Rogue Nation ,Sean Harris,7.4
136,Simon Merrells,Drama|Fantasy|Horror|Thriller,Anthony Hopkins,The Wolfman ,Art Malik,5.8
137,Alexander Skarsgård,Action|Adventure|Drama|Romance,Christoph Waltz,The Legend of Tarzan ,Casper Crump,6.6
138,Oprah Winfrey,Adventure|Animation|Comedy|Family,Matthew Broderick,Bee Movie ,Rip Torn,6.2
139,Gary Oldman,Action|Adventure|Animation|Comedy|Family,Angelina Jolie Pitt,Kung Fu Panda 2 ,Mike Bell,7.3
140,Noah Ringer,Action|Adventure|Family|Fantasy,Seychelle Gabriel,The Last Airbender ,Aasif Mandvi,4.2
141,Tom Cruise,Action|Adventure|Thriller,Philip Seymour Hoffman,Mission: Impossible III ,Eddie Marsan,6.9
142,Jake Weber,Action|Drama|Thriller,Channing Tatum,White House Down ,Matt Craven,6.4
143,Dan Fogler,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Elisabeth Harnois,Mars Needs Moms ,Tom Everett Scott,5.4
144,Kate Winslet,Adventure|Animation|Comedy|Family,Hugh Jackman,Flushed Away ,David Suchet,6.7
145,Cara Delevingne,Adventure|Family|Fantasy,Hugh Jackman,Pan ,Nonso Anozie,5.8
146,Zach Callison,Adventure|Animation|Comedy|Family|Sci-Fi,Ty Burrell,Mr. Peabody & Sherman ,Karan Brar,6.9
147,Orlando Bloom,Adventure,Brad Pitt,Troy ,Julian Glover,7.2
148,Martin Short,Adventure|Animation|Comedy|Family,Jada Pinkett Smith,Madagascar 3: Europe's Most Wanted ,Cedric the Entertainer,6.9
149,Colin Salmon,Action|Adventure|Thriller,Toby Stephens,Die Another Day ,Rick Yune,6.1
150,Kate McKinnon,Action|Comedy|Fantasy|Sci-Fi,Ed Begley Jr.,Ghostbusters ,Zach Woods,5.5
151,Steve Buscemi,Action|Adventure|Sci-Fi|Thriller,Bruce Willis,Armageddon ,Will Patton,6.6
152,Rosario Dawson,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,Will Smith,Men in Black II ,Rip Torn,6.1
153,Anthony Hopkins,Action|Adventure|Animation|Fantasy,Robin Wright,Beowulf ,Sebastian Roché,6.3
154,Angelina Jolie Pitt,Action|Adventure|Animation|Comedy|Family,J.K. Simmons,Kung Fu Panda 3 ,Wayne Knight,7.2
155,Jeremy Renner,Action|Adventure|Thriller,Tom Cruise,Mission: Impossible - Ghost Protocol ,Michael Nyqvist,7.4
156,Kamil McFadden,Adventure|Animation|Family|Fantasy,Hugh Jackman,Rise of the Guardians ,Khamani Griffin,7.3
157,Richard Burgi,Comedy|Crime,John Michael Higgins,Fun with Dick and Jane ,David Herman,6.1
158,Tony Goldwyn,Action|Drama|History|War,Tom Cruise,The Last Samurai ,Chad Lindberg,7.7
159,María Valverde,Action|Adventure|Drama,Christian Bale,Exodus: Gods and Kings ,Ben Mendelsohn,6.1
160,Leonard Nimoy,Action|Adventure|Sci-Fi,Chris Hemsworth,Star Trek ,Bruce Greenwood,8
161,James Franco,Action|Adventure|Fantasy|Romance,J.K. Simmons,Spider-Man ,Kirsten Dunst,7.3
162,Djimon Hounsou,Action|Adventure|Animation|Comedy|Family|Fantasy,Gerard Butler,How to Train Your Dragon 2 ,America Ferrera,7.9
163,Elodie Yung,Action|Adventure|Fantasy,Gerard Butler,Gods of Egypt ,Bryan Brown,5.5
164,Joe Morton,Action|Adventure|Sci-Fi|Thriller,Sam Shepard,Stealth ,Richard Roxburgh,5
165,Billy Crudup,Action|Drama|Mystery|Sci-Fi,Matt Frewer,Watchmen ,Stephen McHattie,7.7
166,Rene Russo,Action|Crime|Thriller,Jet Li,Lethal Weapon 4 ,Darlene Love,6.6
167,Regi Davis,Action|Sci-Fi,Kevin Rankin,Hulk ,Celia Weston,5.7
168,Dwayne Johnson,Action|Adventure|Sci-Fi|Thriller,Channing Tatum,G.I. Joe: Retaliation ,Elodie Yung,5.8
169,Rainn Wilson,Action|Adventure|Comedy|Thriller,Matthew McConaughey,Sahara ,Delroy Lindo,6
170,Ming-Na Wen,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,Steve Buscemi,Final Fantasy: The Spirits Within ,Jean Simmons,6.4
171,Dominic Cooper,Action|Adventure|Sci-Fi,Chris Evans,Captain America: The First Avenger ,Hayley Atwell,6.9
172,Maria Grazia Cucinotta,Action|Adventure|Thriller,Colin Salmon,The World Is Not Enough ,Desmond Llewelyn,6.4
173,Lee Ingleby,Action|Adventure|Drama|History|War,James D'Arcy,Master and Commander: The Far Side of the World ,David Threlfall,7.4
174,Kristen Stewart,Adventure|Drama|Fantasy|Romance,Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2 ,Taylor Lautner,5.5
175,Brad Pitt,Animation|Comedy|Family|Musical,Robin Williams,Happy Feet 2 ,Common,5.9
176,Peter Mensah,Action|Adventure|Sci-Fi,Ty Burrell,The Incredible Hulk ,William Hurt,6.8
177,Philip Michael Thomas,Action|Crime|Drama|Mystery|Thriller,Don Johnson,Miami Vice             ,John Diehl,7.5
178,Penelope Wilton,Adventure|Family|Fantasy,Mark Rylance,The BFG ,Rafe Spall,6.8
179,Tom Hardy,Adventure|Drama|Thriller|Western,Leonardo DiCaprio,The Revenant ,Lukas Haas,8.1
180,Snoop Dogg,Adventure|Animation|Comedy|Family|Sport,Ryan Reynolds,Turbo ,Ben Schwartz,6.5
181,Ray Winstone,Adventure|Animation|Comedy|Family|Western,Johnny Depp,Rango ,Stephen Root,7.2
182,Annet Mahendru,Adventure|Animation|Comedy|Family,Benedict Cumberbatch,Penguins of Madagascar ,Andy Richter,6.7
183,Edgar Ramírez,Action|Mystery|Thriller,Matt Damon,The Bourne Ultimatum ,Albert Finney,8.1
184,Wayne Knight,Action|Adventure|Animation|Comedy|Family,Angelina Jolie Pitt,Kung Fu Panda ,Dan Fogler,7.6
185,Hayley Atwell,Action|Adventure|Comedy|Sci-Fi,Judy Greer,Ant-Man ,T.I.,7.4
186,Josh Hutcherson,Adventure|Sci-Fi|Thriller,Jennifer Lawrence,The Hunger Games: Catching Fire ,Sandra Ellis Lafferty,7.6
187,Kristen Stewart,Adventure|Drama|Fantasy|Romance,Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2 ,Taylor Lautner,5.5
188,Matt Jones,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Jim Parsons,Home ,April Winchell,6.7
189,Lisa Ann Walter,Adventure|Sci-Fi|Thriller,Tom Cruise,War of the Worlds ,Rick Gonzalez,6.5
190,Henry Rollins,Action|Comedy|Crime|Thriller,Will Smith,Bad Boys II ,Jordi Mollà,6.6
191,Constance Marie,Action|Adventure|Animation|Comedy|Family|Fantasy,Salma Hayek,Puss in Boots ,Amy Sedaris,6.7
192,Andre Braugher,Action|Crime|Mystery|Thriller,Angelina Jolie Pitt,Salt ,August Diehl,6.4
193,Emma Watson,Action|Adventure|Drama,Anthony Hopkins,Noah ,Logan Lerman,5.8
194,Mackenzie Crook,Action|Adventure|Family|Mystery,Toby Jones,The Adventures of Tintin ,Tony Curran,7.4
195,Gary Oldman,Adventure|Family|Fantasy|Mystery,Daniel Radcliffe,Harry Potter and the Prisoner of Azkaban ,Rupert Grint,7.8
196,Bryan Brown,Adventure|Drama|Romance|War,Essie Davis,Australia ,Eddie Baroo,6.6
197,Zoë Kravitz,Action|Adventure|Sci-Fi,Will Smith,After Earth ,Glenn Morshower,4.9
198,D.B. Sweeney,Adventure|Animation|Family|Thriller,Alfre Woodard,Dinosaur ,Della Reese,6.5
199,Dave Legeno,Action|Fantasy,Rupert Grint,Harry Potter and the Deathly Hallows: Part II ,Ralph Ineson,7.5
200,Rami Malek,Adventure|Comedy|Family|Fantasy,Robin Williams,Night at the Museum: Secret of the Tomb ,Steve Coogan,6.2
201,Brad Pitt,Action|Animation|Comedy|Family|Sci-Fi,J.K. Simmons,Megamind ,Will Ferrell,7.3
202,Fiona Shaw,Adventure|Family|Fantasy,Daniel Radcliffe,Harry Potter and the Sorcerer's Stone ,Verne Troyer,7.5
203,Jeff Bridges,Action|Comedy|Fantasy,Ryan Reynolds,R.I.P.D. ,Stephanie Szostak,5.6
204,Shin'ya Tsukamoto,Action|Adventure|Drama|Horror|Sci-Fi,Mark Chinnery,Godzilla Resurgence ,Atsuko Maeda,8.2
205,Orlando Bloom,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl ,Jack Davenport,8.1
206,Toby Jones,Fantasy,Rupert Grint,Harry Potter and the Deathly Hallows: Part I ,Alfred Enoch,6.4
207,Philip Seymour Hoffman,Adventure|Sci-Fi|Thriller,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 1 ,Josh Hutcherson,6.7
208,Seth Gabel,Mystery|Thriller,Tom Hanks,The Da Vinci Code ,Jürgen Prochnow,6.6
209,Rachel Crow,Adventure|Animation|Comedy|Family|Musical,Miguel Ferrer,Rio 2 ,Jeffrey Garcia,6.4
210,Bruce Davison,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,X-Men 2 ,Aaron Stanford,7.5
211,Vin Diesel,Action|Crime|Thriller,Paul Walker,Fast Five ,Dwayne Johnson,7.3
212,Eddie Marsan,Action|Adventure|Crime|Mystery|Thriller,Robert Downey Jr.,Sherlock Holmes: A Game of Shadows ,Paul Anderson,7.5
213,Jason Flemyng,Action|Adventure|Fantasy,Liam Neeson,Clash of the Titans ,Alexa Davalos,5.8
214,Rachel Ticotin,Action|Sci-Fi,Ronny Cox,Total Recall ,Marshall Bell,7.5
215,Vladimir Kulich,Action|Adventure|History,Tony Curran,The 13th Warrior ,Clive Russell,6.6
216,Scott Glenn,Action|Adventure|Thriller,Jeremy Renner,The Bourne Legacy ,Stacy Keach,6.7
217,Vivica A. Fox,Action,Michael Gough,Batman & Robin ,John Glover,3.7
218,T.J. Thyne,Comedy|Family|Fantasy,Clint Howard,How the Grinch Stole Christmas ,Molly Shannon,6
219,Dennis Quaid,Action|Adventure|Sci-Fi|Thriller,Jake Gyllenhaal,The Day After Tomorrow ,Sela Ward,6.4
220,Dougray Scott,Action|Adventure|Thriller,Tom Cruise,Mission: Impossible II ,Richard Roxburgh,6.1
221,Mary Elizabeth Mastrantonio,Action|Adventure|Drama|Thriller,Karen Allen,The Perfect Storm ,Bob Gunton,6.4
222,Ioan Gruffudd,Action|Adventure|Sci-Fi|Thriller,Chris Evans,Fantastic 4: Rise of the Silver Surfer ,Andre Braugher,5.6
223,Rafe Spall,Adventure|Drama|Fantasy,Suraj Sharma,Life of Pi ,Tabu,8
224,Matt Long,Action|Fantasy|Thriller,Nicolas Cage,Ghost Rider ,Peter Fonda,5.2
225,Riz Ahmed,Action|Thriller,Matt Damon,Jason Bourne ,Ato Essandoh,7.1
226,Bernie Mac,Action|Adventure|Comedy|Crime,Demi Moore,Charlie's Angels: Full Throttle ,Justin Theroux,4.8
227,Charlize Theron,Adventure|Mystery|Sci-Fi,Michael Fassbender,Prometheus ,Sean Harris,7
228,Brad Garrett,Adventure|Animation|Comedy|Family|Fantasy,Nathan Lane,Stuart Little 2 ,Melanie Griffith,5.4
